lat,lon,name
50.880928,4.700645,Little Dog
50.880938,4.708035,Piercing In Niche
50.880944,4.695116,Leuven Old Tower of Fort
50.880991,4.703047,30CC Cultuurcentrum van Leuven.
50.881003,4.725259,Speeltuin Krakauplein
50.881048,4.697952,School ner 9 4de graad
50.881096,4.708348,Informatiebord diestsestraat
50.881101,4.682947,Organic Utopia - Insectenhotel
50.88113,4.697251,War Monument
50.881135,4.715864,L'Union Fait La Force
50.881199,4.679176,Voetbalveld Lemmensinstituut
50.88123,4.717967,Fietsknooppunt 11 + trailmarkers Vlaanderenroute en Heuvelroute
50.881261,4.703307,Octopus Pole
50.881298,4.701591,In Den Boule
50.881336,4.699831,de dolfijnen van de Vismarkt
50.881337,4.709469,Statuette at Miniemeninstitute
50.881374,4.68998,De Drije Koningen
50.881437,4.720442,Sporty mural
50.881448,4.699352,Villa Ernesto
50.881467,4.713968,Het Depot
50.88149,4.710398,Vanhemelryck
50.881514,4.686362,Love Yourself Mural
50.881594,4.693671,Pacman
50.881594,4.700188,Fish at Fishmarket
50.881621,4.701556,Leuven Luxemburg College
50.881649,4.697658,30CC Minnepoort
50.881708,4.715438,Beeldhouwwerk cherubijnen (1875).
50.881723,4.69612,FitoCity 7 Huppen en Hinken
50.881769,4.689268,Het Roerhuis
50.881781,4.686947,Pillar Crater
50.881782,4.714555,Bushalte Station
50.881937,4.711976,Leuven - Apotheek
50.881959,4.707303,Leuven - Sportterrein Sint-Maartensdal
50.881967,4.719073,Het meisje met het lange haar
50.881974,4.699086,Egyptische gevel
50.882014,4.687249,Camillo Torres - Vlinders
50.882045,4.67945,GHB - Kapel Lemmensinstituut
50.882092,4.693666,Fountain
50.88214,4.697361,Minnepoort 1765
50.882176,4.714157,Balloon of Friendship
50.882196,4.701292,Boon Hecking Demon Head
50.882248,4.713411,1921 Angel at Pizza Espressa
50.882313,4.72438,Playground Centrale Werkplaatsen
50.882315,4.698736,Maria aan de gevel
50.88232,4.716888,Ibis Budget Hotel
50.882384,4.718292,Licht en Liefde
50.882394,4.690005,Fabota Speelterrein
50.882429,4.697802,Naar fietsknooppunt 12 Mercatorpad.
50.882432,4.702671,Hidden surfer boy
50.882438,4.721302,Central Park 3010
50.882439,4.717904,Mozaiek Bank Trio
50.882463,4.697242,Mercator - Leuven
50.882564,4.685473,Elephant mural
50.882587,4.720564,Construction Trees
50.882613,4.70246,streetletter
50.882659,4.72096,Slide Centrale Werkplaatsen
50.882792,4.683445,Bunker - Edouard Remyvest
50.882796,4.714804,Dirk Boutsgebouw - Vlaams Administratief Centrum.
50.882801,4.721898,Mini library
50.882831,4.683949,zuurstof wall painting
50.882847,4.691631,Stads School Gate
50.882889,4.684703,Graffiti wall
50.882894,4.698086,Oratoriënklooster
50.882901,4.722414,Hal 5
50.882946,4.719095,Bisser Bee
50.882987,4.695463,Park De Bruul
50.88302,4.719009,Streetart woodpecker
50.883052,4.686708,Keizershof - Kapel
50.88311,4.701505,Leuven Vital Decoster
50.883164,4.691811,Coloured Octopus
50.883169,4.696313,Piratenschip Bruulpark
50.883195,4.693525,Boeken kast De Bruul
50.883196,4.699416,FitoCity 5 Kangoeroesprongen
50.883255,4.694922,Speelbox Bruulpark
50.883263,4.699079,the old gate
50.883276,4.716454,Indicatie fietsknooppunt
50.883301,4.702628,Staande hoogtesprong
50.883332,4.70597,Infobord - Stratenplan Leuven - Minckelerstr.
50.883343,4.702298,Petanqueveld Kolveniershof
50.88335,4.70179,Mosaic Bench Kolveniershof
50.883397,4.716875,Wegwijzer fietsknooppunt
50.883572,4.705205,Leuven - Speeltuin Sint-Maartensdal
50.883765,4.704489,Community garden de braam.
50.883781,4.706585,Purple Volcano wall painting
50.883783,4.695965,Balsporten Terrein
50.88389,4.720565,Holy Cow!
50.883921,4.693639,Het LoVens Roosendaal InCarnaet
50.883938,4.694879,Graffiti Bruul
50.884,4.705306,Buurtcentrum Sint Maartensdal
50.884016,4.713603,Indoor Skatepark Stelplaats.
50.884023,4.697992,Leuven 1957
50.884025,4.717034,Wegwijzer wandelknooppunt
50.884145,4.68522,Keizershof Ingang
50.884149,4.72226,Heilig Hart Kerk
50.88417,4.698328,Orange Bunny Onder Den Torens
50.884183,4.68667,Speeltuin - Ter Wende
50.884189,4.716855,Maria Met Kind In Gevel
50.884211,4.719266,Bird Class
50.884285,4.703238,Maria Bid Voor Ons
50.884296,4.714044,Fietsknooppunt 33 Diestsepoort
50.884374,4.714754,Fietsroute naar knooppunt 11.
50.884381,4.699964,Grey Maria
50.884408,4.690705,Cisse en Mariake
50.884467,4.685964,Ter Wende - Gedicht
50.884504,4.696394,Duck landscape
50.884519,4.721942,Ping pong Blauwput
50.884531,4.724586,Tale of two foxes
50.884636,4.698891,Small Beguinage
50.884746,4.714702,Route knooppunt 11 oversteekplaats Diestsepoort.
50.884812,4.71585,Naar fietsknooppunt 33 Diestsepoort.
50.884823,4.723888,De Mozaiek Octopus
50.88484,4.714163,Rechtdoor naar knooppunt 12 Diestsepoort.
50.88489,4.708048,Tweewaters
50.884911,4.688694,Publieke barbecues Noormannenpark.
50.884927,4.716646,See You Later
50.885056,4.723134,Gevelkapel Maria
50.885061,4.688542,Mosaic bench
50.885064,4.680402,Padelbox Lovanium
50.885066,4.723675,Minibibiotheek geef een boek neem een boek
50.885114,4.709788,Parochiekerk Onze-Lieve-Vrouw Middelares
50.885215,4.69779,King Card
50.885234,4.681859,Lovanium - Tennisvelden
50.885305,4.699807,Leuven 1914
50.88532,4.716035,IN MEMORIAM 1940-1945 leuven
50.885369,4.717176,Bluewinged Black Angel
50.885566,4.708827,Mozaïekbank
50.885608,4.694898,"Marrainenplein, Leuven"
50.885608,4.703878,Basketbalpleintje 'de Stroom'
50.885609,4.688227,Paard in 't groen.
50.885619,4.696577,Boekentil
50.885752,4.705122,Plastic Heart
50.885877,4.68461,Voetbalgoal ten wijngaard
50.885944,4.684776,Speeltuin Ten Wijngaard
50.885977,4.717792,Jeugdhuis Sojo
50.885981,4.70586,Bewegingsbank Schipvaartstraat
50.886036,4.700698,Sluis
50.886246,4.68662,100 Jaar De Wijnpers Graffiti
50.886271,4.71103,Stella Artois Brouwerij
50.886278,4.68065,Het roerhuis - mural
50.886354,4.699767,Waterspeeltuin Sluispark
50.886409,4.686447,Grafitti Mural
50.886555,4.6983,Speeltuin Valkenplein
50.886726,4.698632,Woonwijk Heuvelhof gedenksteen.
50.886797,4.704774,Gravity
50.886841,4.720649,Boekentil Wipstraat
50.886846,4.700343,Bewegingsbank Sluispark
50.886938,4.692685,Petanquebaan s’hertogenwijngaard
50.886974,4.684883,Wijnpers Sign
50.887015,4.699947,Animal Mural Out Of Bricks
50.887032,4.705595,Infobord voor hengelaars
50.887035,4.701109,Old Existenz Tower
50.887106,4.70856,Fiere Margriet wall painting
50.887119,4.702361,Leuven - De Lantaarn
50.887311,4.702589,Jachthaven van Leuven
50.88732,4.697393,Wall Painting
50.887419,4.70593,Jachthaven Leuven
50.887494,4.706941,Equal Eyes Wall Painting
50.887597,4.699002,Leuven - Graffiti Elektriciti Cabin
50.88761,4.704072,Leuven - de SILO
50.88769,4.702095,Mozaïek Bank
50.887691,4.705973,Richtingaanwijzer Kunststedenroute - Brouwerijplein
50.887694,4.700368,Leuven Entrepot
50.887851,4.707316,Girl Graffiti
50.887871,4.696126,Hidden Cross
50.888002,4.704496,Embracing Lovers
50.888007,4.70002,Leuven - Spread Your Wings
50.888093,4.694885,Do Torenwachter
50.888175,4.707103,Stella Artois Brewery
50.88824,4.698596,Waterput Abdij
50.888421,4.697903,Keizerberg
50.888445,4.702281,Old mooring bollard
50.888599,4.698739,Park Keizersberg
50.888664,4.694345,Speeltuin Mechelsevest
50.888749,4.695272,Zij Ingang Abdij
50.88887,4.687503,Ter Wende - Schilderijen
50.888916,4.695465,Red Abdij Gate 1526 1936
50.888977,4.698151,Park Keizersberg Mammoetbomen
50.889124,4.687147,De Wingerd - Vogels
50.889441,4.708637,Stella Artois Glass Art
50.889776,4.722305,Machine Mural
50.889958,4.706257,Welcome To THE Boat
50.890046,4.687565,De Wingerd - muurschildering
50.890311,4.72169,Ingang Beemdenstraat
50.890316,4.706275,Kunstedenroute en naar knooppunt 93 Vaart-Lelièvrelaan.
50.890565,4.724048,Boekentil Rodenbachstraat
50.890664,4.698801,Wittgenstein Wilsele
50.869967,4.699125,"Chapel ""Jezus in 't Steentje"""
50.87165,4.697937,Groot Begijnhof Leuven
50.872524,4.724253,Michotte Park Playground Central
50.872561,4.691849,Woman Holding Bowl
50.873332,4.702593,Max Weber Sculpture - Leuven
50.874835,4.707535,Campus Vesalius
50.878029,4.707415,Leuven Library Tower
50.881419,4.71597,Leuven Main Station Roof
50.882032,4.688405,Medica Mural
50.883516,4.699466,Scouts En Gidsen Museum
50.883661,4.697488,St Augustinus
50.88464,4.715855,Happy Mural
50.885156,4.720063,Kapel Heilig Drievuldigheid
50.886139,4.697217,Peacock Wall Painting
50.887085,4.688504,Publieke Barbeque
